"Data","Ostatnio","Otwarcie","Max.","Min.","Wol.","Zmiana%"
"13.10.2021","1.796,70","1.761,90","1.798,40","1.760,00","5,67K","2,02%"
"12.10.2021","1.761,20","1.755,70","1.771,70","1.753,80","4,82K","0,20%"
"11.10.2021","1.757,70","1.760,30","1.762,30","1.752,10","4,27K","-0,10%"
"08.10.2021","1.759,40","1.756,40","1.783,20","1.755,60","7,54K","-0,10%"
"07.10.2021","1.761,10","1.765,70","1.769,30","1.754,50","5,37K","-0,15%"
"06.10.2021","1.763,70","1.762,40","1.767,40","1.747,90","3,61K","0,05%"
"05.10.2021","1.762,80","1.772,90","1.772,90","1.751,10","4,83K","-0,37%"
"04.10.2021","1.769,40","1.762,40","1.772,60","1.749,70","2,67K","0,53%"
"01.10.2021","1.760,10","1.759,10","1.766,40","1.751,60","5,81K","0,09%"
"30.09.2021","1.758,50","1.728,10","1.766,30","1.724,50","15,87K","1,95%"
"29.09.2021","1.724,90","1.736,00","1.747,60","1.723,70","2,05K","-0,84%"
"28.09.2021","1.739,50","1.752,80","1.755,60","1.729,90","2,58K","-0,83%"
"27.09.2021","1.754,00","1.754,20","1.762,60","1.748,00","1,82K","0,01%"
"24.09.2021","1.753,80","1.746,00","1.759,90","1.743,00","1,77K","0,11%"
"23.09.2021","1.751,80","1.771,40","1.778,60","1.740,00","2,14K","-1,64%"
"22.09.2021","1.781,00","1.777,10","1.789,70","1.767,20","2,85K","0,04%"
"21.09.2021","1.780,30","1.767,80","1.784,60","1.761,30","2,22K","0,82%"
"20.09.2021","1.765,90","1.755,60","1.770,00","1.745,60","3,38K","0,71%"
"17.09.2021","1.753,40","1.756,80","1.769,10","1.750,00","2,61K","-0,30%"
"16.09.2021","1.758,70","1.798,10","1.798,60","1.747,50","1,68K","-2,13%"
"15.09.2021","1.796,90","1.808,30","1.809,60","1.794,10","0,93K","-0,68%"
"14.09.2021","1.809,20","1.796,40","1.812,70","1.783,00","1,75K","0,71%"
"13.09.2021","1.796,50","1.791,30","1.802,10","1.786,80","3,76K","0,13%"
"10.09.2021","1.794,20","1.797,90","1.807,70","1.790,40","2,89K","-0,44%"
"09.09.2021","1.802,10","1.793,60","1.804,80","1.787,80","5,86K","0,36%"
"08.09.2021","1.795,70","1.798,90","1.805,50","1.785,60","2,03K","-0,27%"
"07.09.2021","1.800,60","1.834,00","1.834,00","1.796,00","3,45K","-1,37%"
"06.09.2021","1.825,65","1.829,95","1.830,65","1.823,65","-","-0,24%"
"05.09.2021","1.830,05","1.832,20","1.832,50","1.829,65","-","-0,31%"
"03.09.2021","1.835,70","1.813,50","1.838,70","1.813,50","3,62K","1,23%"
"02.09.2021","1.813,40","1.818,40","1.821,00","1.809,50","2,29K","-0,25%"
"01.09.2021","1.818,00","1.818,60","1.824,30","1.813,80","2,59K","-0,12%"
"31.08.2021","1.820,10","1.814,40","1.821,80","1.806,60","0,79K","0,33%"
"30.08.2021","1.814,20","1.822,90","1.828,00","1.812,60","0,41K","-0,40%"
"27.08.2021","1.821,50","1.796,70","1.823,70","1.788,70","0,88K","1,35%"
"26.08.2021","1.797,20","1.795,20","1.802,10","1.783,40","0,97K","0,23%"
"25.08.2021","1.793,00","1.805,90","1.805,90","1.787,00","0,44K","-0,97%"
"24.08.2021","1.810,50","1.809,50","1.814,00","1.805,30","0,59K","0,12%"
"23.08.2021","1.808,30","1.783,80","1.810,30","1.780,20","1,26K","1,25%"
"20.08.2021","1.786,00","1.784,20","1.792,30","1.782,00","0,70K","0,05%"
"19.08.2021","1.785,10","1.791,50","1.796,30","1.776,60","2,50K","-0,07%"
"18.08.2021","1.786,40","1.790,40","1.797,50","1.784,10","1,23K","-0,19%"
"17.08.2021","1.789,80","1.791,00","1.799,00","1.785,00","1,72K","-0,12%"
"16.08.2021","1.791,90","1.782,40","1.793,00","1.775,20","0,68K","0,65%"
"13.08.2021","1.780,30","1.759,80","1.783,50","1.758,50","0,97K","1,51%"
"12.08.2021","1.753,80","1.754,60","1.760,50","1.745,30","2,63K","-0,09%"
"11.08.2021","1.755,40","1.732,30","1.757,80","1.728,00","3,17K","1,25%"
"10.08.2021","1.733,70","1.734,00","1.740,40","1.720,70","3,72K","0,30%"
"09.08.2021","1.728,60","1.766,00","1.766,40","1.680,00","3,69K","-2,07%"
"06.08.2021","1.765,10","1.806,80","1.806,80","1.762,00","3,61K","-2,53%"
"05.08.2021","1.810,90","1.816,60","1.818,90","1.802,10","0,83K","-0,30%"
"04.08.2021","1.816,40","1.820,40","1.837,40","1.811,10","1,57K","0,02%"
"03.08.2021","1.816,10","1.817,90","1.819,20","1.811,80","1,46K","-0,44%"
"02.08.2021","1.824,20","1.818,60","1.825,10","1.811,30","1,28K","0,28%"
"30.07.2021","1.819,10","1.834,70","1.836,10","1.817,10","1,08K","-1,01%"
"29.07.2021","1.837,70","1.813,50","1.838,70","1.813,50","4,34K","1,73%"
"28.07.2021","1.806,50","1.810,30","1.815,60","1.798,00","6,00K","0,04%"
"27.07.2021","1.805,70","1.802,90","1.810,30","1.799,10","2,30K","0,03%"
"26.07.2021","1.805,10","1.808,00","1.816,10","1.802,30","1,41K","-0,13%"
"23.07.2021","1.807,50","1.812,80","1.813,30","1.795,20","2,34K","-0,19%"
"22.07.2021","1.811,00","1.806,70","1.813,40","1.798,20","0,83K","0,11%"
"21.07.2021","1.809,10","1.814,50","1.817,50","1.800,00","1,56K","-0,43%"
"20.07.2021","1.817,00","1.819,40","1.830,70","1.811,40","1,33K","0,11%"
"19.07.2021","1.815,00","1.818,20","1.821,80","1.801,30","2,07K","-0,33%"
"16.07.2021","1.821,10","1.837,60","1.837,60","1.815,60","2,61K","-0,76%"
"15.07.2021","1.835,00","1.834,10","1.840,30","1.826,80","1,39K","0,22%"
"14.07.2021","1.831,00","1.813,20","1.835,20","1.811,60","4,39K","0,83%"
"13.07.2021","1.815,90","1.814,30","1.821,00","1.808,30","3,44K","0,22%"
"12.07.2021","1.811,90","1.814,60","1.814,70","1.797,20","2,97K","-0,26%"
"09.07.2021","1.816,70","1.809,00","1.818,70","1.803,00","4,97K","0,58%"
"08.07.2021","1.806,20","1.809,90","1.824,40","1.799,60","3,54K","-0,10%"
"07.07.2021","1.808,00","1.805,30","1.815,30","1.803,60","1,38K","0,43%"
"06.07.2021","1.800,20","1.793,70","1.821,20","1.793,40","0,98K","0,50%"
"05.07.2021","1.791,30","1.786,50","1.794,65","1.784,75","-","0,27%"
"04.07.2021","1.786,40","1.788,00","1.788,00","1.785,80","-","-0,16%"
"02.07.2021","1.789,30","1.783,00","1.800,90","1.781,00","0,51K","0,37%"
"01.07.2021","1.782,70","1.776,00","1.789,00","1.775,00","0,42K","0,28%"
"30.06.2021","1.777,70","1.770,00","1.779,20","1.759,50","0,48K","0,46%"
"29.06.2021","1.769,50","1.781,00","1.782,60","1.757,60","0,89K","-0,97%"
"28.06.2021","1.786,90","1.788,20","1.791,20","1.780,20","0,48K","0,16%"
"25.06.2021","1.784,00","1.783,00","1.797,00","1.782,60","0,52K","0,07%"
"24.06.2021","1.782,80","1.784,80","1.794,00","1.778,90","0,26K","-0,38%"
"23.06.2021","1.789,60","1.787,40","1.801,00","1.780,40","0,29K","0,35%"
"22.06.2021","1.783,40","1.791,30","1.793,80","1.777,20","0,54K","-0,30%"
"21.06.2021","1.788,80","1.770,00","1.792,00","1.770,00","0,28K","0,79%"
"18.06.2021","1.774,80","1.786,10","1.800,80","1.768,80","0,70K","-0,32%"
"17.06.2021","1.780,50","1.818,70","1.830,10","1.774,00","0,93K","-4,64%"
"16.06.2021","1.867,20","1.863,70","1.868,50","1.814,10","0,92K","0,27%"
"15.06.2021","1.862,20","1.871,50","1.876,10","1.859,00","0,26K","-0,51%"
"14.06.2021","1.871,80","1.882,70","1.882,70","1.852,00","0,54K","-0,73%"
"11.06.2021","1.885,50","1.910,20","1.910,50","1.883,00","0,65K","-0,88%"
"10.06.2021","1.902,20","1.894,80","1.907,60","1.880,60","4,54K","0,04%"
"09.06.2021","1.901,40","1.900,70","1.903,00","1.896,90","0,15K","0,06%"
"08.06.2021","1.900,30","1.904,50","1.910,00","1.895,20","0,90K","-0,23%"
"07.06.2021","1.904,60","1.890,90","1.908,20","1.890,90","0,68K","0,36%"
"04.06.2021","1.897,70","1.874,40","1.902,60","1.861,80","0,54K","0,99%"
"03.06.2021","1.879,10","1.912,30","1.912,30","1.873,90","0,68K","-1,92%"
